id,name,type,property1,value1,property2,value2,description
1,苍蓝星辰,necklace,health,5,magic_def,2,由深邃蓝色宝石和紫晶石镶嵌而成的项链
2,翡翠炽焰,necklace,health,20,,,由炽热红宝石和璀璨绿松石打造而成的项链
3,夜影之戒,ring,health,10,magic_power,2,黄铜精心锻造而成，中央镶嵌着一颗深紫色的宝石，仿佛夜幕中的微光。
4,苍穹之辉,ring,magic_power,5,,,黄铜精工细作，镶嵌着一颗闪耀的蓝宝石。蓝宝石宛如夜空中最璀璨的星辰，散发出神秘的光芒。
5,冥影裂魂,weapon,attack_power,5,,,令人畏惧的战斧，吸收了无尽的黑暗力量。斧刃锋利得足以撕裂钢铁，斧柄上镌刻的符文散发出幽暗的光芒。
6,莲华剑心,weapon,attack_power,3,speed,3,充满灵性的利剑，剑柄上雕刻莲花，象征着纯净与高雅。锋利无比，剑身如秋水般清澈，闪烁着寒光。
7,烈焰战锅,weapon,attack_power,3,physical_def,1,极具传奇色彩的装备，其外形与普通的平底锅无异，但其材质却坚硬无比，能抵御猛烈的攻击。
8,碧海灵杖,weapon,magic_power,5,,,充满魔法力量的法杖，杖身呈现蓝绿色，蕴含着深海的力量。拥有掌控水元素与自然之力的能力。
9,赤焰战步,shoes,speed,5,move,1,由坚韧的龙皮和火红色布料制成的战靴，外观燃烧着烈火，散发着无尽的热量。
10,冰风迅步,shoes,move,2,,,由坚韧的龙皮和深蓝色布料制成的战靴，外观简洁而强大。传说中，这双战靴曾被风暴之神所佩戴，赋予穿戴者如狂风般的速度和如闪电般的敏捷。
11,神铠战甲,armor,physical_def,2,magic_def,2,古老的神秘合金与神圣晶石锻造而成的全身盔甲
12,雷霆半甲,armor,physical_def,1,magic_def,3,黑铁与闪电晶石构成的半身盔甲，外表凝聚着雷霆的力量
