id,name,target,type,range,scope,effect1,time1,effect2,time2,multiplier,cd,description
1,坚韧之盾,friend,physical,3,1,无敌,1,,,,5,莱欧斯召唤出坚韧的神圣之盾，用以保护自己或盟友免受伤害，持续一回合。
1,审判之刃,enemy,physical,1,1,减速,3,,,1.5,3,莱欧斯挥舞审判之剑，对敌人造成巨大的伤害，并施加一定的惩罚效果，如减速或沉默。
2,冰封之环,enemy,magic,0,4,禁锢,1,,,0.9,5,玛露希尔施展寒冰魔法，在她周围形成一个冰冻的圆环，对接触到的敌人造成冰冻伤害，并有几率冻结敌人，使其无法移动。
2,魔力冲击,enemy,magic,3,3,,,,,1.25,4,玛露希尔聚集体内的所有魔力，进行一次强力的魔力爆发，对周围的敌人造成全方位的魔法伤害。
3,机关大师,enemy,magic,3,1,禁锢,1,,,1.3,4,齐尔查克擅长操控各种复杂的机关装置。他可以利用工具迅速拆解敌方陷阱，或是操控环境中的机关进行反击，暂时困住或伤害敌人。
3,疾速闪避,friend,physical,5,1,瞬移,,瞬移,1,,4,利用半身人灵活的体格和精巧的装置，齐尔查克可以迅速躲避敌人的攻击，瞬间移动到安全的位置。
4,钢铁意志,friend,physical,0,1,抵抗,2,攻击上升,1,,3,森西通过多年的冒险和战斗锻炼出坚韧的意志力。使用此技能时，森西能够暂时免疫所有控制效果，并增强其下回合攻击力。
4,暴怒之斧,enemy,physical,1,1,,,,,2,4,森西挥舞着他的巨斧，积攒着内心的愤怒之力，向单个敌人进行一次毁灭性的打击。
5,自然护佑,friend,magic,4,1,防御上升,3,护盾,2,,5,法琳召唤自然之力，为队友施加一层自然护盾，提升他们的防御力。
5,和平之缚,enemy,magic,4,1,缓慢,2,沉默,2,,5,法琳释放和平之力，使敌人陷入和谐的状态，暂时停止攻击并降低其行动能力。
6,战意风暴,friend,physical,0,4,攻击上升,3,防御上升,3,,5,娜玛莉释放出战意风暴，激励身边的队友，使他们充满战斗力和斗志，大幅度提升全体队友的攻击力和防御力，为团队赢得胜利铺平道路。
6,黄金守卫,friend,physical,0,1,召唤守卫,3,,,,6,娜玛莉召唤出一名黄金守卫，为她提供强力支援。
7,绝影剑技,enemy,physical,3,1,瞬移,,,,1.25,3,菊朗精通绝影剑技，以无与伦比的速度和灵活性施展剑术，对敌人进行快速而凌厉的攻击。这项技能不仅能迅速击倒敌人，还能在战斗中迅速腾挪，保持战斗的主动性。
7,风暴突袭,enemy,physical,5,1,瞬移,,,,1.75,5,菊朗如疾风般突袭敌人，以迅雷不及掩耳之势对目标造成极大伤害。这项技能让他能够在战场上以高速度迅速切入敌方阵型，对目标造成致命打击。
